IC1,IC2,IC3,IC4
-4.40,-0.25,0.11,0.19
-4.21,-0.41,0.60,0.29
-4.33,-0.24,0.30,0.23
-4.45,-0.11,0.01,0.18
-4.31,-0.23,0.29,0.27
-4.39,-0.10,-0.00,0.26
-4.33,-0.19,0.26,0.27
-4.39,-0.26,0.56,0.15
-4.42,-0.13,0.24,0.18
-4.21,-0.25,0.63,0.33
-4.53,0.07,-0.24,0.19
-4.46,-0.03,0.09,0.19
-4.45,0.10,-0.20,0.27
-4.37,0.01,0.08,0.30
-4.55,0.16,-0.24,0.19
-4.40,0.02,0.15,0.26
-4.40,-0.09,0.53,0.19
-4.50,0.05,0.19,0.15
-4.35,-0.09,0.60,0.23
-4.02,-0.35,1.41,0.42
-4.64,0.39,-0.70,0.23
-4.52,0.31,-0.31,0.27
-4.57,0.18,0.07,0.15
-4.55,0.31,-0.22,0.22
-4.54,0.23,-0.03,0.18
-4.76,0.32,-0.33,0.02
-4.65,0.30,-0.10,0.07
-4.42,0.14,0.49,0.22
-4.27,-0.02,0.88,0.36
-4.56,0.23,0.18,0.17
-4.33,0.14,0.57,0.33
-4.11,-0.09,1.16,0.41
-4.32,-0.06,1.22,0.24
-4.88,0.67,-0.65,0.04
-4.72,0.51,-0.26,0.14
-4.87,0.60,-0.56,0.08
-4.65,0.60,-0.17,0.21
-4.65,0.55,-0.11,0.22
-4.73,0.72,-0.81,0.23
-4.72,0.56,-0.42,0.17
-4.54,0.23,0.65,0.17
-4.24,0.06,1.04,0.34
-4.79,0.66,-0.07,0.14
-4.77,0.50,0.32,-0.01
-4.31,0.16,0.99,0.21
-4.30,-0.00,1.38,0.22
-4.87,0.92,-0.82,0.05
-4.15,0.01,1.47,0.32
-4.96,1.05,-1.05,0.07
-4.24,0.13,1.65,0.25
-4.86,0.79,-0.23,0.08
-4.14,0.03,1.66,0.35
-4.95,1.07,-0.86,0.10
-4.98,0.79,-0.15,0.00
-4.78,0.75,-0.09,0.08
-4.53,0.63,0.22,0.23
-4.61,0.58,0.29,0.18
-4.62,0.60,0.80,0.16
-4.77,0.92,-0.30,0.07
-4.31,0.30,1.38,0.35
-4.94,0.95,-0.89,0.15
-4.35,0.19,2.21,0.13
-4.84,0.85,-0.07,0.06
-4.78,0.80,-0.41,0.13
-4.93,1.29,-0.71,0.17
-5.00,1.24,-0.24,0.06
-4.50,0.39,1.29,0.20
-4.29,0.34,0.95,0.33
-4.92,1.31,-0.52,0.20
-4.99,1.26,-0.86,0.02
-4.89,0.98,0.26,0.14
-4.96,0.94,-0.08,0.09
-4.83,1.11,0.43,0.13
-4.73,0.83,0.74,0.13
-4.60,1.00,0.44,0.23
-4.67,0.65,0.91,0.24
-4.75,0.91,0.57,0.19
-4.36,0.64,1.69,0.19
-4.79,0.81,0.59,0.10
-4.59,0.76,1.06,0.12
-4.48,0.49,1.36,0.11
-4.56,0.44,1.83,0.25
-4.81,1.01,0.53,0.25
-4.23,0.57,2.01,0.30
-4.85,1.22,0.54,0.10
-5.11,1.41,-0.45,0.00
-4.72,1.13,0.67,0.19
-4.88,0.99,0.37,0.04
-5.31,1.47,-0.73,-0.11
-4.66,0.75,1.80,0.10
-4.64,1.25,0.81,0.18
-4.96,1.09,0.40,0.11
-4.94,1.28,1.03,0.07
-4.56,1.31,0.53,0.26
-4.56,0.74,1.76,0.24
-4.90,1.70,-0.52,0.17
-4.81,1.29,0.39,0.19
-4.54,0.72,1.63,0.05
-4.43,0.75,1.93,0.17
-4.88,1.11,0.58,0.02
-4.77,1.14,0.89,0.02
-4.39,0.87,2.82,0.08
-4.82,1.35,0.90,0.12
-4.69,1.21,0.61,0.16
-4.84,1.38,0.31,0.07
-5.01,1.42,0.62,0.07
-4.89,1.27,0.32,0.11
-4.87,1.46,0.96,0.01
-5.30,1.63,-0.96,0.05
-4.91,1.04,0.97,0.17
-4.80,1.08,1.28,0.17
-4.78,1.58,0.29,0.19
-4.93,1.12,1.61,0.11
-5.08,1.92,-0.30,0.02
-4.98,1.33,1.63,0.02
-4.85,1.50,1.33,0.18
-5.00,1.67,-0.58,0.10
-4.89,1.08,1.34,0.10
-4.78,1.12,1.65,0.22
-4.49,1.62,0.66,0.24
-4.92,1.16,1.99,0.16
-5.35,1.96,0.07,-0.05
-5.22,2.13,-0.22,0.11
-4.83,1.54,1.71,0.11
-4.23,0.92,3.39,0.13
-4.87,1.75,1.72,0.14
-4.85,1.62,0.73,0.17
-4.47,1.66,1.04,0.17
-4.90,1.20,0.74,0.21
-4.51,1.24,1.05,0.33
-4.68,1.28,2.98,0.20
-4.66,1.78,1.99,0.10
-5.01,2.11,-0.29,-0.10
-4.71,1.36,3.62,0.14
-3.48,-1.48,-0.76,1.16
-2.98,-1.77,0.24,1.29
-3.41,-1.60,-1.68,1.21
-3.39,-1.73,-1.05,1.11
-3.37,-1.23,-2.03,1.13
-3.44,-1.52,-1.03,1.14
-3.42,-1.65,-2.02,1.17
-3.03,-1.61,-1.71,1.17
-3.09,-1.91,-0.72,1.30
-3.44,-1.57,-1.37,1.10
-3.05,-1.53,-1.07,1.10
-3.48,-1.36,-1.36,1.14
-3.10,-1.32,-1.06,1.14
-3.08,-1.45,-0.42,1.16
-3.23,-1.28,-0.72,1.20
-3.23,-1.54,-1.10,1.19
-3.27,-1.70,-0.71,1.12
-3.16,-1.66,-0.40,1.11
-3.42,-1.16,-1.38,1.14
-2.93,-2.08,-0.39,1.28
-3.55,-1.12,-2.67,1.08
-3.17,-1.08,-0.74,1.20
-3.60,-0.91,-2.65,0.99
-3.38,-1.20,-1.66,1.13
-3.36,-1.33,-1.02,1.15
-3.15,-1.62,-1.64,1.16
-3.41,-1.43,-1.01,1.19
-3.66,-0.93,-2.00,1.09
-3.28,-1.21,-0.07,1.09
-3.15,-1.35,-0.37,1.12
-3.32,-1.32,-0.06,1.12
-3.30,-1.44,-1.05,1.15
-3.19,-1.41,-0.74,1.15
-3.17,-1.22,-0.91,1.17
-3.34,-1.18,-0.61,1.17
-3.22,-1.33,-0.90,1.15
-3.20,-1.14,-0.27,1.17
-3.73,-0.64,-2.07,1.07
-3.35,-1.23,-0.95,1.13
-3.35,-1.18,-0.52,1.12
-3.22,-1.32,-0.82,1.15
-3.39,-1.28,-0.51,1.15
-3.37,-1.09,-0.69,1.18
-2.88,-1.70,1.12,1.25
-3.42,-1.20,-0.68,1.15
-3.18,-1.05,-0.28,1.14
-3.33,-1.19,-0.58,1.12
-3.76,-0.70,-1.68,1.03
-3.20,-1.28,-0.44,1.14
-3.35,-1.11,0.07,1.12
-3.34,-0.99,-0.60,1.16
-3.21,-1.13,-0.08,1.14
-3.29,-1.18,-0.42,1.15
-3.52,-0.79,-0.67,1.09
-3.59,-0.84,-1.01,1.10
-3.21,-1.11,0.11,1.16
-3.47,-0.92,-0.88,1.13
-3.43,-0.67,-0.53,1.09
-3.51,-0.72,-0.87,1.10
-3.58,-0.76,-0.40,1.11
-3.38,-0.81,-0.74,1.12
-3.53,-0.95,-1.03,1.10
-3.61,-0.68,-0.56,1.11
-3.58,-0.74,-1.02,1.08
-3.26,-1.12,0.14,1.16
-3.71,-0.38,-1.49,1.08
-3.60,-0.66,-0.38,1.07
-3.61,-0.49,-1.48,1.05
-3.69,-0.54,-1.01,1.06
-3.70,-0.36,-1.31,1.04
-3.48,-0.66,-0.31,1.11
-3.60,-0.47,-1.29,1.07
-3.25,-1.08,0.51,1.15
-3.54,-0.75,-0.59,1.13
-3.44,-0.62,-0.00,1.12
-3.52,-0.67,-0.34,1.07
-3.67,-0.50,-1.04,1.05
-3.47,-0.70,-0.17,1.09
-3.62,-0.37,-0.87,1.04
-3.51,-0.65,-0.16,1.10
-3.52,-0.63,-0.05,1.10
-3.46,-0.68,-0.39,1.08
-3.35,-0.80,0.33,1.15
-3.65,-0.38,-0.90,1.06
-3.41,-0.66,-0.19,1.09
-3.48,-0.54,-0.12,1.10
-3.63,-0.37,-0.82,1.04
-3.48,-0.53,-0.03,1.08
-3.63,-0.36,-0.33,1.06
-3.47,-0.52,0.06,1.09
-3.32,-0.68,0.45,1.13
-3.47,-0.51,0.16,1.10
-3.51,-0.39,-0.47,1.07
-3.66,-0.21,-0.76,1.05
-3.58,-0.38,-0.38,1.08
-3.49,-0.54,0.01,1.09
-3.50,-0.42,0.08,1.10
-3.69,-0.24,-0.50,1.03
-3.49,-0.49,0.17,1.08
-3.54,-0.36,-0.05,1.06
-3.58,-0.31,-0.07,1.08
-3.49,-0.48,0.32,1.10
-3.78,-0.09,-0.79,1.02
-3.42,-0.47,0.41,1.11
-3.70,-0.16,-0.49,1.03
-3.62,-0.25,-0.10,1.05
-3.70,-0.07,-0.40,1.03
-3.61,-0.24,-0.01,1.06
-3.69,-0.06,-0.51,1.04
-3.61,-0.19,-0.12,1.06
-3.57,-0.25,0.11,1.07
-3.41,-0.41,0.60,1.11
-3.53,-0.24,0.20,1.07
-3.64,-0.15,-0.09,1.05
-3.54,-0.23,0.29,1.08
-3.62,-0.12,-0.00,1.05
-3.56,-0.19,0.26,1.07
-3.50,-0.26,0.51,1.09
-3.59,-0.14,0.22,1.06
-3.48,-0.26,0.61,1.09
-3.73,0.06,-0.26,1.02
-3.65,-0.04,0.07,1.05
-3.74,0.09,-0.23,1.02
-3.66,0.01,0.05,1.04
-3.77,0.14,-0.29,1.02
-3.65,-0.00,0.15,1.05
-3.56,-0.11,0.48,1.07
-3.65,0.01,0.19,1.04
-3.55,-0.09,0.50,1.07
-3.32,-0.35,1.41,1.14
-3.91,0.39,-0.70,0.97
-3.82,0.31,-0.31,0.99
-3.74,0.18,0.07,1.02
-3.82,0.31,-0.22,1.00
-3.77,0.23,-0.03,1.02
-3.85,0.32,-0.33,0.99
-3.81,0.30,-0.10,1.00
-3.66,0.14,0.49,1.04
-3.57,-0.02,0.67,1.08
-3.72,0.23,0.18,1.02
-3.63,0.14,0.57,1.04
-3.48,-0.09,1.16,1.09
-3.49,-0.06,1.22,1.09
-4.04,0.59,-0.65,0.94
-3.96,0.51,-0.26,0.97
-4.04,0.60,-0.56,0.95
-3.95,0.60,-0.17,0.98
-3.96,0.55,-0.51,0.97
-4.04,0.72,-0.81,0.94
-3.88,0.56,-0.42,0.98
-3.70,0.23,0.65,1.04
-3.54,0.06,1.04,1.08
-3.95,0.66,-0.07,0.98
-3.80,0.50,0.32,0.98
-3.62,0.16,0.99,1.08
-3.46,-0.00,1.38,1.08
-4.18,0.92,-0.82,0.92
-3.46,0.01,1.47,1.10
-4.26,1.05,-1.05,0.91
-3.40,0.13,1.65,1.08
-4.03,0.79,-0.23,0.95
-3.45,0.03,1.66,1.09
-4.26,1.07,-0.86,0.90
-4.01,0.79,-0.15,0.93
-4.08,0.75,-0.09,0.94
-3.84,0.63,0.22,1.01
-3.77,0.58,0.29,0.99
-3.78,0.60,0.80,1.02
-4.08,0.77,-0.30,0.94
-3.61,0.30,1.38,1.03
-4.24,0.95,-0.89,0.89
-3.52,0.19,2.21,1.13
-4.00,0.85,-0.07,0.93
-4.08,0.80,-0.41,0.94
-4.23,1.29,-0.71,0.91
-4.17,1.24,-1.05,0.93
-3.66,0.39,1.29,1.06
-3.74,0.34,0.95,1.08
-4.08,1.31,-0.52,0.88
-4.16,1.26,-0.86,0.89
-4.05,0.98,0.26,0.95
-4.13,0.94,-0.08,0.96
-4.00,1.11,0.43,0.94
-3.89,0.83,0.74,1.00
-4.04,1.00,0.44,0.97
-3.84,0.65,0.91,0.99
-3.91,0.91,0.57,1.00
-3.53,0.64,1.69,1.06
-3.96,0.81,0.59,0.97
-3.75,0.76,1.06,0.98
-3.65,0.49,1.36,1.04
-3.72,0.44,1.83,1.06
-3.97,1.01,0.53,0.93
-3.67,0.57,2.01,1.04
-4.02,1.22,0.54,0.97
-4.28,1.41,-0.45,0.87
-3.89,1.13,0.67,0.93
-4.04,0.99,0.37,0.97
-4.47,1.47,-0.73,0.82
-3.55,0.75,1.80,1.03
-4.08,1.25,0.81,0.93
-4.13,1.09,0.40,0.92
-4.11,1.28,0.22,0.94
-4.00,1.31,0.53,0.94
-3.72,0.74,1.76,1.05
-4.35,1.70,-0.52,0.85
-3.98,1.29,0.39,0.93
-3.70,0.72,1.63,1.04
-3.59,0.75,1.93,1.04
-4.05,1.11,0.58,0.95
-3.94,1.14,0.89,0.95
-3.55,0.87,2.82,1.07
-3.98,1.35,0.90,0.99
-4.13,1.21,0.61,0.90
-4.01,1.38,0.31,0.94
-3.90,1.10,0.62,0.94
-4.05,1.27,0.32,0.98
-4.03,1.46,0.96,1.00
-4.46,1.63,-0.96,0.79
-4.07,1.04,0.97,0.91
-3.96,1.08,1.28,0.91
-3.95,1.58,0.29,0.94
-4.10,1.12,1.61,0.98
-4.25,1.92,-0.30,0.89
-4.14,1.33,1.63,0.89
-4.01,1.50,1.33,0.93
-4.44,1.67,-0.58,0.84
-4.06,1.08,1.34,0.96
-3.95,1.12,1.65,0.96
-3.93,1.62,0.66,0.99
-3.80,1.16,1.99,0.90
-4.23,1.96,0.07,0.81
-4.66,2.13,-0.22,0.85
-4.27,1.54,1.71,0.98
-3.67,0.92,3.39,1.00
-3.76,1.75,1.72,0.89
-4.30,1.62,0.73,0.79
-3.91,1.66,1.04,0.91
-3.78,1.20,0.74,0.95
-3.95,1.24,1.05,0.95
-3.57,1.28,2.98,1.07
-4.11,1.78,1.99,0.97
-4.45,2.11,-0.29,0.90
-3.59,1.36,3.62,1.01
-6.67,-1.39,-1.70,-2.34
-6.28,-1.36,-1.40,-2.22
-6.26,-1.48,-0.76,-2.32
-5.77,-1.77,0.24,-2.05
-5.64,-1.60,-1.68,-1.27
-6.18,-1.73,-1.05,-1.74
-6.16,-1.23,-2.03,-1.60
-5.67,-1.52,-1.03,-1.21
-5.65,-1.65,-2.02,-1.44
-5.82,-1.61,-1.71,-1.68
-5.32,-1.91,0.90,-1.18
-5.11,-1.57,-1.37,-1.00
-5.84,-1.53,-1.07,-1.25
-5.16,-1.36,-1.36,-1.09
-5.88,-1.32,-1.06,-1.34
-5.31,-1.45,-0.42,-1.07
-5.46,-1.28,-0.72,-1.28
-5.74,-1.54,-1.10,-1.42
-5.78,-1.70,-0.71,-1.36
-5.67,-1.66,-0.40,-1.24
-5.37,-1.16,-1.38,-1.09
-5.16,-2.08,-0.39,-1.20
-5.78,-1.12,-2.67,-1.16
-5.40,-1.08,-0.74,-1.03
-6.11,-0.91,-2.65,-1.49
-5.61,-1.20,-0.04,-1.35
-5.59,-1.33,-1.02,-1.33
-5.38,-1.62,-0.03,-1.07
-5.63,-1.43,-1.01,-1.29
-5.89,-0.93,-2.00,-1.39
-4.95,-1.21,-0.07,-0.77
-5.38,-1.35,-0.37,-0.98
-5.55,-1.32,-0.06,-1.36
-5.81,-1.13,-1.05,-1.46
-5.70,-1.41,-0.74,-1.46
-5.68,-1.22,-0.91,-1.31
-5.57,-1.18,-0.61,-1.25
-5.73,-1.33,-0.90,-1.27
-5.43,-1.14,-0.27,-1.25
-5.69,-0.64,-2.07,-1.10
-5.58,-1.23,-0.14,-1.35
-5.58,-1.18,-0.52,-1.18
-5.73,-1.32,-0.82,-1.33
-5.62,-1.28,-0.51,-1.45
-5.32,-1.09,-0.69,-1.06
-5.39,-1.70,1.12,-1.29
-5.64,-1.20,-0.68,-1.45
-5.69,-1.05,-0.28,-1.34
-5.56,-1.19,-0.58,-1.30
-5.71,-0.70,-1.68,-1.14
-5.43,-0.96,-0.44,-1.03
-5.58,-1.11,0.07,-1.24
-5.85,-0.99,-0.60,-1.56
-5.72,-1.13,-0.08,-1.34
-5.80,-1.18,-0.42,-1.33
-6.03,-0.79,-0.67,-1.45
-5.82,-0.84,-1.01,-1.44
-5.44,-1.11,0.11,-1.13
-5.97,-0.92,-0.88,-1.54
-5.66,-0.67,-0.53,-1.20
-5.46,-0.72,-0.87,-1.07
-5.53,-0.76,-0.40,-1.18
-5.61,-0.81,-0.74,-1.05
-6.04,-0.64,-0.22,-1.57
-6.12,-0.68,-0.56,-1.55
-5.80,-0.74,-0.21,-1.28
-5.22,-1.12,0.14,-0.76
-6.22,-0.38,-1.49,-1.59
-5.83,-0.66,-0.38,-1.28
-5.70,-0.49,-1.48,-1.06
-6.06,-0.54,-1.01,-1.48
-6.07,-0.36,-1.31,-1.57
-5.43,-0.66,-0.31,-0.93
-5.41,-0.47,-1.29,-0.85
-5.34,-0.76,0.51,-1.02
-5.77,-0.59,-0.59,-1.29
-5.25,-0.62,-0.00,-0.74
-5.75,-0.67,-0.34,-1.34
-6.04,-0.34,-1.04,-1.49
-5.84,-0.70,-0.17,-1.42
-5.71,-0.37,-0.87,-1.16
-6.16,-0.65,-0.16,-1.69
-6.17,-0.63,-0.05,-1.78
-5.97,-0.52,0.02,-1.46
-5.44,-0.80,0.33,-1.18
-6.16,-0.38,-0.90,-1.51
-6.19,-0.50,-0.19,-1.70
-5.57,-0.54,-0.12,-1.16
-5.86,-0.37,-0.82,-1.31
-5.98,-0.53,-0.03,-1.55
-5.72,-0.36,-0.33,-1.27
-5.42,-0.52,0.06,-0.92
-5.69,-0.68,0.45,-1.23
-5.84,-0.51,0.16,-1.47
-5.74,-0.39,-0.07,-1.28
-5.34,-0.21,-0.36,-0.75
-5.95,-0.38,-0.38,-1.46
-6.07,-0.54,0.01,-1.64
-6.01,-0.42,0.08,-1.57
-5.99,-0.24,-0.50,-1.39
-5.86,-0.41,0.17,-1.40
-5.98,-0.29,-0.05,-1.45
-5.88,-0.31,-0.07,-1.40
-6.42,-0.40,0.32,-2.00
-6.49,-0.02,-0.59,-1.83
-5.79,-0.47,0.41,-1.40
-6.42,-0.08,-0.49,-1.82
-6.54,-0.17,-0.10,-2.00
-6.14,-0.07,-0.40,-1.54
-5.84,-0.16,-0.01,-1.29
-5.99,-0.06,-0.30,-1.38
-5.94,-0.19,0.08,-1.40
-5.62,-0.21,0.21,-1.09
-5.57,-0.37,0.70,-1.14
-5.97,-0.24,0.30,-1.46
-6.12,-0.11,0.01,-1.58
-5.58,-0.23,0.40,-1.08
-5.87,-0.08,0.05,-1.31
-6.02,-0.17,0.31,-1.51
-5.78,-0.24,0.56,-1.31
-5.43,-0.12,0.27,-0.88
-5.49,-0.24,0.66,-1.02
-6.23,0.09,-0.20,-1.61
-5.97,-0.01,0.13,-1.39
-5.77,0.11,-0.18,-1.12
-6.08,0.03,0.13,-1.49
-6.19,0.18,-0.24,-1.53
-5.69,0.04,0.20,-1.10
-5.60,-0.09,0.53,-1.08
-5.72,0.05,0.29,-1.12
-5.99,-0.05,0.60,-1.47
-5.27,-0.35,1.41,-0.89
-6.07,0.43,-0.70,-1.29
-6.23,0.31,-0.31,-1.51
-6.00,0.22,0.07,-1.36
-5.77,0.31,-0.22,-1.03
-5.93,0.23,0.17,-1.29
-6.08,0.32,-0.13,-1.35
-6.18,0.30,-0.10,-1.48
-5.54,0.14,0.49,-0.96
-5.66,0.06,0.88,-1.11
-6.30,0.31,0.18,-1.63
-5.93,0.14,0.57,-1.33
-5.85,-0.09,1.16,-1.43
-5.99,-0.06,1.22,-1.53
-6.27,0.67,-0.65,-1.45
-5.77,0.51,-0.26,-0.98
-5.92,0.60,-0.56,-1.04
-6.46,0.60,-0.17,-1.68
-6.33,0.55,-0.11,-1.51
-5.99,0.72,-0.40,-1.20
-6.11,0.56,-0.42,-1.41
-6.21,0.23,0.65,-1.65
-5.77,0.06,1.04,-1.18
-5.90,0.66,-0.07,-1.16
-6.45,0.50,0.32,-1.81
-6.26,0.16,0.99,-1.74
-6.53,-0.00,1.38,-2.20
-7.10,0.92,-0.82,-2.18
-6.24,0.01,1.47,-1.88
-6.49,1.05,-1.05,-1.54
-6.05,0.13,1.65,-1.64
-6.68,0.79,-0.23,-1.81
-5.54,0.19,1.66,-1.14
-6.21,1.07,-0.86,-1.27
-6.38,0.79,-0.15,-1.52
-6.17,0.90,-0.09,-1.26
-6.21,0.63,0.63,-1.54
-6.00,0.58,0.29,-1.25
-6.15,0.60,0.80,-1.52
-6.44,0.92,-0.30,-1.54
-5.70,0.30,1.38,-1.20
-6.33,1.27,-0.89,-1.40
-5.75,0.19,2.21,-1.29
-6.51,0.85,-0.07,-1.61
-6.03,0.80,0.40,-1.23
-6.46,1.29,-0.71,-1.50
-6.67,1.24,-0.24,-1.68
-5.89,0.39,1.29,-1.41
-5.96,0.34,1.76,-1.28
-6.31,1.31,-0.52,-1.35
-6.39,1.26,-0.86,-1.41
-5.72,0.98,0.26,-0.72
-6.35,0.94,-0.08,-1.52
-5.95,1.11,0.43,-1.17
-6.12,0.83,0.74,-1.42
-6.27,1.00,0.44,-1.51
-6.07,0.65,0.91,-1.43
-5.86,0.91,0.57,-1.05
-6.04,0.64,1.69,-1.42
-6.19,0.81,1.40,-1.45
-5.98,0.76,1.06,-1.19
-6.15,0.49,1.36,-1.62
-5.95,0.75,1.83,-1.42
-6.48,1.01,0.53,-1.55
-5.90,0.57,2.01,-1.25
-6.52,1.22,0.54,-1.57
-6.78,1.72,-0.45,-1.55
-6.40,1.13,0.67,-1.49
-6.55,0.99,0.37,-1.70
-6.70,1.47,-0.73,-1.54
-5.78,0.75,1.80,-1.27
-6.59,1.25,0.81,-1.61
-6.36,1.09,0.40,-1.62
-6.34,1.28,1.03,-1.60
-6.23,1.31,0.53,-1.42
-6.23,0.74,1.76,-1.74
-6.85,1.70,-0.52,-1.69
-6.77,1.29,0.39,-2.04
-6.21,0.72,2.44,-1.56
-5.82,0.75,1.93,-1.25
-7.39,1.11,0.58,-2.46
-7.28,1.14,0.89,-2.58
-6.90,0.87,2.82,-2.40
-6.77,1.35,0.90,-2.11
-6.92,1.21,0.61,-2.20
-5.96,1.38,0.31,-1.04
-6.41,1.42,0.62,-1.54
-6.28,1.27,0.32,-1.25
-6.54,1.46,0.96,-1.60
-6.41,1.63,-0.96,-1.32
-6.30,1.04,0.97,-1.57
-6.19,1.08,1.28,-1.19
-5.90,1.58,0.29,-1.17
-6.33,1.12,1.61,-1.63
-6.76,1.92,-0.30,-1.59
-6.65,1.33,1.63,-1.72
-6.24,1.50,1.33,-1.43
-6.67,1.67,-0.58,-1.52
-6.56,1.08,1.34,-1.64
-6.18,1.12,1.65,-1.27
-6.71,1.62,0.66,-1.62
-6.59,1.16,1.99,-1.58
-7.02,1.96,0.07,-1.67
-6.33,2.13,-0.22,-1.38
-5.95,1.54,1.71,-1.01
-5.34,0.92,3.39,-0.98
-6.55,1.75,1.72,-1.59
-6.53,2.25,0.73,-1.57
-6.14,1.66,1.04,-1.32
-6.57,1.20,0.74,-1.53
-6.18,1.24,1.05,-1.41
-5.80,1.28,2.98,-1.04
-6.33,1.78,1.99,-1.26
-6.68,2.11,-0.29,-1.71
-5.82,1.36,3.62,-1.35
-3.33,-1.39,-1.70,1.13
-3.50,-1.36,-1.40,1.13
-3.48,-1.48,-0.76,1.03
-2.98,-1.77,0.24,1.17
-3.41,-1.60,-1.68,1.08
-3.39,-1.73,-1.05,1.11
-3.37,-1.23,-2.03,1.13
-3.44,-1.52,-1.03,1.02
-3.42,-1.65,-2.02,1.04
-3.59,-1.61,-1.71,1.04
-3.09,-1.91,-0.72,1.18
-3.44,-1.57,-1.37,1.10
-3.61,-1.53,-1.07,1.10
-3.48,-1.36,-1.36,1.02
-3.10,-1.32,-1.06,1.02
-3.08,-1.45,-0.42,1.04
-3.23,-1.28,-0.72,1.08
-3.23,-1.54,-1.10,1.06
-3.27,-1.70,-0.71,1.12
-3.44,-1.66,-0.40,1.11
-3.42,-1.16,-1.38,1.01
