IC1,IC2,IC3,IC4
-1.17,0.79,0.33,-0.32
1.06,1.09,-0.34,-0.78
-1.15,0.96,0.86,-1.00
-0.77,1.00,0.71,-0.63
1.36,1.18,-0.52,-0.54
-0.85,1.04,0.68,-0.66
0.61,1.17,-0.00,-0.44
-0.73,1.15,0.25,-0.52
-1.19,0.99,1.88,-0.69
0.72,1.20,0.22,-0.41
-0.43,1.41,0.07,-0.70
-2.42,1.07,1.70,-0.65
-0.50,1.45,0.04,-0.72
-0.12,1.49,-0.11,-0.80
1.79,1.70,-1.77,-0.58
-0.20,1.54,-0.14,-0.63
1.71,1.75,-1.80,-0.68
2.09,1.79,-1.95,-0.38
0.10,1.46,-0.32,-0.53
2.01,2.00,-1.98,-0.35
-2.78,1.18,3.59,-0.46
-2.40,1.39,1.93,-0.69
-1.13,1.46,3.16,-0.67
-0.75,1.67,-0.01,-0.71
2.44,2.20,-1.09,-0.68
-2.36,1.71,1.47,-0.28
0.56,-0.52,-0.83,-5.12
-1.87,-0.93,1.78,-4.53
-0.86,-0.54,0.57,-5.32
0.41,-0.47,0.29,-5.52
0.35,-0.50,-0.39,-4.73
0.53,-0.86,-0.14,-3.03
0.27,-0.79,-0.41,-2.82
0.01,-0.89,-0.69,-2.06
-1.34,-1.25,2.57,-1.33
0.13,-1.29,0.38,-0.13
0.31,-1.48,0.63,1.22
0.56,-1.86,-0.83,1.06
-1.87,-1.94,1.78,1.04
0.67,-1.88,0.57,1.01
0.41,-1.81,0.29,1.04
0.35,-1.85,-0.39,1.10
0.53,-1.70,-0.14,0.99
0.27,-1.63,-0.41,0.94
0.01,-1.57,-0.69,0.97
-1.34,-1.76,2.57,0.95
0.13,-1.46,0.38,0.92
0.31,-1.48,0.63,0.97
0.69,-1.44,0.48,0.88
0.43,-1.37,0.20,1.05
0.62,-1.39,0.45,0.95
2.08,-1.09,-1.73,0.92
0.09,-1.26,-0.10,0.93
0.47,-1.22,-0.26,1.00
-0.65,-1.26,0.42,0.90
-0.27,-1.22,0.27,0.99
-0.09,-1.08,0.52,0.99
-1.12,-1.18,0.24,0.95
0.25,-0.99,0.51,1.02
-1.09,-1.18,0.76,0.99
0.82,-0.81,-0.90,0.91
-0.21,-0.91,0.33,0.98
-0.03,-0.93,-0.17,0.97
0.26,-0.83,-0.12,0.91
-0.00,-0.85,0.35,1.11
0.28,-0.76,-0.35,0.98
-0.20,-0.75,-0.30,1.08
0.84,-0.57,-1.01,0.96
0.58,-0.59,-0.53,0.91
-0.33,-0.63,-0.01,0.98
0.17,-0.65,-0.29,1.01
-0.36,-0.62,0.62,0.91
0.19,-0.53,-0.14,1.00
0.52,-0.46,-0.57,1.08
0.38,-0.39,-0.42,0.92
-0.90,-0.60,1.02,0.98
0.03,-0.37,-0.02,0.91
1.09,-0.21,-1.21,0.99
-0.17,-0.37,0.18,1.08
0.67,-0.19,-0.77,0.93
-0.56,-0.34,0.62,1.07
0.38,-0.17,-0.41,1.00
1.32,0.01,-1.46,0.95
0.17,-0.14,-0.16,1.09
1.10,0.06,-1.21,0.98
-0.36,-0.14,0.49,1.05
0.70,0.05,-0.70,1.03
-0.55,-0.07,0.88,1.00
0.38,0.07,-0.16,1.05
0.71,0.22,-0.97,0.96
-0.41,0.09,0.46,0.92
0.73,0.30,-0.82,0.98
-0.39,0.12,0.61,1.01
0.32,0.27,-0.58,1.13
-1.50,0.05,1.38,1.02
0.29,0.29,-0.33,1.00
1.01,0.44,-0.76,0.99
-1.20,0.22,1.20,1.06
-0.06,0.43,0.30,0.97
-0.73,0.29,0.75,1.09
-0.03,0.51,0.07,1.05
1.88,0.72,-1.59,0.98
-0.01,0.50,-0.16,1.06
1.03,0.76,-0.87,0.95
-1.17,0.46,0.33,1.07
1.06,0.76,-0.34,1.04
-1.15,0.62,0.86,1.00
0.76,0.83,0.71,0.97
1.36,0.84,-0.52,1.02
-0.85,0.71,0.68,0.99
0.61,0.84,-0.00,1.10
0.80,0.82,0.25,1.04
-1.19,0.65,1.88,0.98
0.72,1.03,0.22,1.11
-0.43,1.07,0.07,1.00
-2.42,0.74,1.70,1.13
-0.50,1.12,0.04,1.10
-0.12,1.16,-0.11,1.03
1.79,1.37,-1.77,1.18
-0.20,1.20,-0.14,1.05
1.71,1.41,-1.80,1.01
2.09,1.45,-1.95,1.04
0.10,1.46,-0.32,1.06
2.01,1.67,-1.98,1.20
-2.78,0.84,3.59,1.07
-2.40,1.05,1.93,1.06
-1.13,1.12,3.16,1.12
0.78,1.33,-0.01,1.13
2.44,1.86,-1.09,1.05
-2.36,1.38,1.47,1.14
0.56,-1.53,-0.83,-0.07
-1.87,-1.94,1.78,-0.12
0.67,-1.54,0.57,-0.11
0.41,-1.48,0.29,-0.14
0.35,-1.51,-0.39,0.07
0.53,-1.53,-0.14,0.01
0.27,-1.47,-0.41,-0.15
0.01,-1.40,-0.69,0.12
-1.34,-1.59,2.57,-0.14
0.13,-1.29,0.38,-0.15
0.31,-1.31,0.63,0.13
0.69,-1.27,0.48,-0.11
0.43,-1.20,0.20,0.05
0.62,-1.22,0.45,-0.11
2.08,-0.92,-1.73,-0.22
0.09,-1.09,-0.10,0.03
0.47,-1.05,-0.26,-0.21
-0.65,-1.09,0.42,-0.21
-0.27,-0.89,0.27,-0.07
-0.09,-0.91,0.52,0.08
-1.12,-1.01,0.24,-0.22
0.25,-0.82,0.51,0.07
-1.09,-0.85,0.76,-0.08
0.82,-0.64,-0.90,-0.21
-0.21,-0.74,0.33,0.06
-0.03,-0.68,-0.17,0.01
0.26,-0.67,-0.12,-0.22
-0.00,-0.60,0.35,-0.19
0.28,-0.59,-0.35,-0.19
-0.20,-0.58,-0.30,0.10
0.84,-0.40,-1.01,-0.08
0.58,-0.42,-0.53,-0.20
-0.33,-0.38,-0.01,-0.19
0.17,-0.48,-0.29,0.20
-0.36,-0.36,0.62,-0.20
-0.19,-0.32,-0.14,-0.03
0.52,-0.21,-0.57,-0.17
0.38,-0.18,-0.42,-0.18
-0.90,-0.39,1.02,0.05
0.03,-0.16,-0.02,-0.18
1.09,0.02,-1.21,-0.16
-0.17,-0.16,0.18,0.05
0.67,0.03,-0.68,-0.19
-0.61,-0.14,0.67,0.06
0.35,0.04,-0.38,-0.06
1.30,0.23,-1.43,-0.17
0.07,0.03,-0.16,0.23
1.10,0.24,-1.21,-0.05
-0.36,0.05,0.49,0.08
0.70,0.26,-0.70,0.05
-0.74,0.14,0.88,-0.16
0.38,0.24,-0.16,0.17
0.71,0.39,-0.97,0.06
-0.41,0.30,0.46,-0.15
0.73,0.46,-0.82,-0.01
-0.39,0.38,0.61,-0.02
0.32,0.53,-0.58,0.00
-1.50,0.30,1.38,-0.14
0.29,0.55,-0.33,-0.03
1.01,0.61,-0.76,0.28
-1.20,0.47,1.20,0.11
-0.06,0.60,0.30,-0.15
-0.73,0.55,0.75,0.04
-0.03,0.68,0.07,-0.14
1.88,0.97,-1.59,-0.15
-0.01,0.84,-0.16,-0.13
1.03,0.93,-0.87,0.03
-1.17,0.79,0.33,-0.01
1.06,0.93,-0.34,0.00
-1.15,0.79,0.86,-0.15
0.76,1.00,0.71,0.08
1.36,1.01,-0.52,0.02
-0.85,0.87,0.68,-0.13
0.61,1.01,-0.00,0.06
-0.73,1.15,0.25,-0.03
-1.19,0.99,1.88,-0.14
0.72,1.20,0.22,0.16
-0.43,1.24,0.07,-0.12
-2.42,0.91,1.70,0.13
-0.50,1.28,0.04,0.26
-0.12,1.32,-0.11,-0.09
1.79,1.53,-1.77,-0.08
-0.20,1.37,-0.14,-0.08
1.71,1.58,-1.80,0.00
2.09,1.62,-1.95,0.40
0.10,1.46,-0.32,-0.07
2.01,1.67,-1.98,0.07
-2.78,1.18,3.59,0.39
-2.40,1.39,1.93,0.13
-1.13,1.46,3.16,0.34
-0.75,1.67,-0.01,-0.08
2.44,1.86,-1.09,0.12
-2.36,1.38,1.47,0.14
