IC1,IC2,IC3,IC4
0.41,0.41,0.41,-0.41
0.45,0.45,0.45,-0.45
0.48,0.48,0.48,-0.48
0.52,0.52,0.52,-0.52
0.55,0.55,0.55,-0.55
0.58,0.58,0.58,-0.58
0.63,0.63,0.63,-0.63
0.66,0.66,0.66,-0.66
0.70,0.70,0.70,-0.70
0.73,0.73,0.73,-0.73
0.77,0.77,0.77,-0.77
0.81,0.81,0.81,-0.81
0.84,0.84,0.84,-0.84
0.88,0.88,0.88,-0.88
0.92,0.92,0.92,-0.92
0.95,0.95,0.95,-0.95
0.99,0.99,0.99,-0.99
1.03,1.03,1.03,-1.03
1.07,1.07,1.07,-1.07
1.10,1.10,1.10,-1.10
1.14,1.14,1.14,-1.14
1.18,1.18,1.18,-1.18
1.21,1.21,1.21,-1.21
1.24,1.24,1.24,-1.24
1.28,1.28,1.28,-1.28
1.32,1.32,1.32,-1.32
1.35,1.35,1.35,-1.35
1.39,1.39,1.39,-1.39
1.43,1.43,1.43,-1.43
1.46,1.46,1.46,-1.46
1.50,1.50,1.50,-1.50
1.53,1.53,1.53,-1.53
1.57,1.57,1.57,-1.57
1.61,1.61,1.61,-1.61
1.65,1.65,1.65,-1.65
1.68,1.68,1.68,-1.68
-1.53,-1.53,-1.53,1.53
-1.51,-1.51,-1.51,1.51
-1.44,-1.44,-1.44,1.44
-1.40,-1.40,-1.40,1.40
-1.38,-1.38,-1.38,1.38
-1.39,-1.39,-1.39,1.39
-1.35,-1.35,-1.35,1.35
-1.33,-1.33,-1.33,1.33
-1.31,-1.31,-1.31,1.31
-1.30,-1.30,-1.30,1.30
-1.30,-1.30,-1.30,1.30
-1.70,-1.70,-1.70,1.70
-1.66,-1.66,-1.66,1.66
-1.61,-1.61,-1.61,1.61
-1.57,-1.57,-1.57,1.57
-1.53,-1.53,-1.53,1.53
-1.50,-1.50,-1.50,1.50
-1.46,-1.46,-1.46,1.46
-1.42,-1.42,-1.42,1.42
-1.38,-1.38,-1.38,1.38
-1.34,-1.34,-1.34,1.34
-1.31,-1.31,-1.31,1.31
-1.27,-1.27,-1.27,1.27
-1.23,-1.23,-1.23,1.23
-1.20,-1.20,-1.20,1.20
-1.16,-1.16,-1.16,1.16
-1.12,-1.12,-1.12,1.12
-1.08,-1.08,-1.08,1.08
-1.04,-1.04,-1.04,1.04
-1.01,-1.01,-1.01,1.01
-0.97,-0.97,-0.97,0.97
-0.93,-0.93,-0.93,0.93
-0.89,-0.89,-0.89,0.89
-0.86,-0.86,-0.86,0.86
-0.83,-0.83,-0.83,0.83
-0.79,-0.79,-0.79,0.79
-0.75,-0.75,-0.75,0.75
-0.72,-0.72,-0.72,0.72
-0.68,-0.68,-0.68,0.68
-0.64,-0.64,-0.64,0.64
-0.61,-0.61,-0.61,0.61
-0.57,-0.57,-0.57,0.57
-0.53,-0.53,-0.53,0.53
-0.50,-0.50,-0.50,0.50
-0.46,-0.46,-0.46,0.46
-0.42,-0.42,-0.42,0.42
-0.38,-0.38,-0.38,0.38
-0.35,-0.35,-0.35,0.35
-0.32,-0.32,-0.32,0.32
-0.28,-0.28,-0.28,0.28
-0.25,-0.25,-0.25,0.25
-0.21,-0.21,-0.21,0.21
-0.17,-0.17,-0.17,0.17
-0.14,-0.14,-0.14,0.14
-0.10,-0.10,-0.10,0.10
-0.06,-0.06,-0.06,0.06
-0.03,-0.03,-0.03,0.03
0.01,0.01,0.01,-0.01
0.05,0.05,0.05,-0.05
0.08,0.08,0.08,-0.08
0.12,0.12,0.12,-0.12
0.15,0.15,0.15,-0.15
0.19,0.19,0.19,-0.19
0.22,0.22,0.22,-0.22
0.26,0.26,0.26,-0.26
0.30,0.30,0.30,-0.30
0.34,0.34,0.34,-0.34
0.37,0.37,0.37,-0.37
0.41,0.41,0.41,-0.41
0.45,0.45,0.45,-0.45
0.48,0.48,0.48,-0.48
0.52,0.52,0.52,-0.52
0.55,0.55,0.55,-0.55
0.58,0.58,0.58,-0.58
0.63,0.63,0.63,-0.63
0.66,0.66,0.66,-0.66
0.70,0.70,0.70,-0.70
0.73,0.73,0.73,-0.73
0.77,0.77,0.77,-0.77
0.81,0.81,0.81,-0.81
0.84,0.84,0.84,-0.84
0.88,0.88,0.88,-0.88
0.92,0.92,0.92,-0.92
0.95,0.95,0.95,-0.95
0.99,0.99,0.99,-0.99
1.03,1.03,1.03,-1.03
1.07,1.07,1.07,-1.07
1.10,1.10,1.10,-1.10
1.14,1.14,1.14,-1.14
1.18,1.18,1.18,-1.18
1.21,1.21,1.21,-1.21
1.24,1.24,1.24,-1.24
1.28,1.28,1.28,-1.28
1.32,1.32,1.32,-1.32
1.35,1.35,1.35,-1.35
1.39,1.39,1.39,-1.39
1.43,1.43,1.43,-1.43
1.46,1.46,1.46,-1.46
1.50,1.50,1.50,-1.50
1.53,1.53,1.53,-1.53
1.57,1.57,1.57,-1.57
1.61,1.61,1.61,-1.61
1.65,1.65,1.65,-1.65
1.68,1.68,1.68,-1.68
-1.59,-1.59,-1.59,1.59
-1.55,-1.55,-1.55,1.55
-1.51,-1.51,-1.51,1.51
-1.46,-1.46,-1.46,1.46
-1.43,-1.43,-1.43,1.43
-1.40,-1.40,-1.40,1.40
-1.35,-1.35,-1.35,1.35
-1.33,-1.33,-1.33,1.33
-1.26,-1.26,-1.26,1.26
-1.20,-1.20,-1.20,1.20
-1.18,-1.18,-1.18,1.18
-1.13,-1.13,-1.13,1.13
-1.08,-1.08,-1.08,1.08
-1.04,-1.04,-1.04,1.04
-0.99,-0.99,-0.99,0.99
-0.94,-0.94,-0.94,0.94
-0.92,-0.92,-0.92,0.92
-0.88,-0.88,-0.88,0.88
-0.85,-0.85,-0.85,0.85
-0.81,-0.81,-0.81,0.81
-0.74,-0.74,-0.74,0.74
-0.74,-0.74,-0.74,0.74
-0.70,-0.70,-0.70,0.70
-0.64,-0.64,-0.64,0.64
-0.63,-0.63,-0.63,0.63
-0.58,-0.58,-0.58,0.58
-0.54,-0.54,-0.54,0.54
-0.51,-0.51,-0.51,0.51
-0.48,-0.48,-0.48,0.48
-0.46,-0.46,-0.46,0.46
-0.42,-0.42,-0.42,0.42
-0.37,-0.37,-0.37,0.37
-0.35,-0.35,-0.35,0.35
-0.34,-0.34,-0.34,0.34
-0.26,-0.26,-0.26,0.26
-0.23,-0.23,-0.23,0.23
-0.19,-0.19,-0.19,0.19
-0.15,-0.15,-0.15,0.15
-0.14,-0.14,-0.14,0.14
-0.06,-0.06,-0.06,0.06
-0.03,-0.03,-0.03,0.03
-0.02,-0.02,-0.02,0.02
0.03,0.03,0.03,-0.03
0.04,0.04,0.04,-0.04
0.10,0.10,0.10,-0.10
0.13,0.13,0.13,-0.13
0.11,0.11,0.11,-0.11
0.18,0.18,0.18,-0.18
0.20,0.20,0.20,-0.20
0.26,0.26,0.26,-0.26
0.32,0.32,0.32,-0.32
0.32,0.32,0.32,-0.32
0.38,0.38,0.38,-0.38
0.43,0.43,0.43,-0.43
0.45,0.45,0.45,-0.45
0.49,0.49,0.49,-0.49
0.53,0.53,0.53,-0.53
0.56,0.56,0.56,-0.56
0.58,0.58,0.58,-0.58
0.61,0.61,0.61,-0.61
0.66,0.66,0.66,-0.66
0.71,0.71,0.71,-0.71
0.71,0.71,0.71,-0.71
0.78,0.78,0.78,-0.78
0.82,0.82,0.82,-0.82
0.86,0.86,0.86,-0.86
0.87,0.87,0.87,-0.87
0.92,0.92,0.92,-0.92
0.95,0.95,0.95,-0.95
0.98,0.98,0.98,-0.98
1.02,1.02,1.02,-1.02
1.06,1.06,1.06,-1.06
1.10,1.10,1.10,-1.10
1.13,1.13,1.13,-1.13
1.17,1.17,1.17,-1.17
1.22,1.22,1.22,-1.22
1.23,1.23,1.23,-1.23
1.28,1.28,1.28,-1.28
1.32,1.32,1.32,-1.32
1.33,1.33,1.33,-1.33
1.39,1.39,1.39,-1.39
1.42,1.42,1.42,-1.42
1.44,1.44,1.44,-1.44
1.48,1.48,1.48,-1.48
1.49,1.49,1.49,-1.49
1.57,1.57,1.57,-1.57
1.60,1.60,1.60,-1.60
1.60,1.60,1.60,-1.60
1.65,1.65,1.65,-1.65
1.68,1.68,1.68,-1.68
1.75,1.75,1.75,-1.75
1.76,1.76,1.76,-1.76
1.80,1.80,1.80,-1.80
